,wl,n,k
606,4.6387e-06,4.5927,8.479
607,4.6611999999999995e-06,4.5941,8.519
608,4.6838e-06,4.5955,8.5594
609,4.7064e-06,4.597,8.6001
610,4.7291999999999995e-06,4.5987,8.6411
611,4.7522e-06,4.6004,8.6823
612,4.7752e-06,4.6022,8.7239
613,4.7983e-06,4.6042,8.7658
614,4.8216e-06,4.6062,8.808
615,4.8449e-06,4.6084,8.8504
616,4.8684e-06,4.6107,8.8932
617,4.892e-06,4.6131,8.9363
618,4.9157e-06,4.6156,8.9797
619,4.9395e-06,4.6182,9.0234
620,4.9634e-06,4.621,9.0674
621,4.987499999999999e-06,4.6239,9.1116
622,5.0116e-06,4.6269,9.1562
623,5.0358999999999995e-06,4.63,9.2011
624,5.0603e-06,4.6333,9.2463
625,5.0848e-06,4.6367,9.2918
626,5.109499999999999e-06,4.6403,9.3376
627,5.1342e-06,4.644,9.3837
628,5.1590999999999994e-06,4.6479,9.4301
629,5.1841e-06,4.6519,9.4768
630,5.2092e-06,4.656,9.5238
631,5.234399999999999e-06,4.6603,9.571
632,5.2598e-06,4.6647,9.6186
633,5.2853e-06,4.6693,9.6665
634,5.3109e-06,4.6741,9.7147
635,5.3366e-06,4.679,9.7632
636,5.3625e-06,4.6841,9.812
637,5.388499999999999e-06,4.6894,9.861
638,5.4146e-06,4.6948,9.9104
639,5.4408e-06,4.7004,9.9601
640,5.4672e-06,4.7062,10.01
641,5.4937e-06,4.7121,10.06
642,5.5202999999999995e-06,4.7182,10.111
643,5.5469999999999996e-06,4.7245,10.162
644,5.5739e-06,4.731,10.213
645,5.6009e-06,4.7376,10.264000000000001
646,5.628e-06,4.7445,10.315999999999999
647,5.6553e-06,4.7515,10.368
648,5.682699999999999e-06,4.7587,10.42
649,5.7102e-06,4.7661,10.472999999999999
650,5.7379e-06,4.7738,10.526
651,5.7657e-06,4.7816,10.579
652,5.793599999999999e-06,4.7896,10.632
653,5.8217e-06,4.7978,10.686
654,5.8499e-06,4.8062,10.74
