wl,k
6.0505e+00,1.9740e+01
6.0841e+00,1.9856e+01
6.1178e+00,1.9973e+01
6.1517e+00,2.0090e+01
6.1858e+00,2.0207e+01
6.2201e+00,2.0326e+01
6.2545e+00,2.0444e+01
6.2892e+00,2.0564e+01
6.3241e+00,2.0684e+01
6.3591e+00,2.0804e+01
6.3944e+00,2.0926e+01
6.4298e+00,2.1047e+01
6.4654e+00,2.1170e+01
6.5013e+00,2.1293e+01
6.5373e+00,2.1416e+01
6.5735e+00,2.1540e+01
6.6100e+00,2.1665e+01
6.6466e+00,2.1791e+01
6.6834e+00,2.1917e+01
6.7205e+00,2.2043e+01
6.7577e+00,2.2171e+01
6.7952e+00,2.2298e+01
6.8328e+00,2.2427e+01
6.8707e+00,2.2556e+01
6.9088e+00,2.2686e+01
6.9471e+00,2.2816e+01
6.9856e+00,2.2947e+01
7.0243e+00,2.3078e+01
7.0632e+00,2.3211e+01
7.1024e+00,2.3343e+01
7.1417e+00,2.3477e+01
7.1813e+00,2.3611e+01
7.2211e+00,2.3746e+01
7.2611e+00,2.3881e+01
7.3014e+00,2.4017e+01
7.3418e+00,2.4153e+01
7.3825e+00,2.4291e+01
7.4234e+00,2.4428e+01
7.4646e+00,2.4567e+01
7.5060e+00,2.4706e+01
7.5476e+00,2.4846e+01
7.5894e+00,2.4986e+01
7.6315e+00,2.5127e+01
7.6738e+00,2.5269e+01
7.7163e+00,2.5411e+01
7.7590e+00,2.5554e+01
7.8020e+00,2.5698e+01
7.8453e+00,2.5842e+01
7.8888e+00,2.5987e+01
7.9325e+00,2.6133e+01
7.9765e+00,2.6279e+01
8.0207e+00,2.6426e+01
8.0651e+00,2.6573e+01
8.1098e+00,2.6722e+01
8.1548e+00,2.6870e+01
8.2000e+00,2.7020e+01
8.2454e+00,2.7170e+01
8.2911e+00,2.7321e+01
8.3371e+00,2.7472e+01
8.3833e+00,2.7625e+01
8.4297e+00,2.7777e+01
8.4764e+00,2.7931e+01
8.5234e+00,2.8085e+01
8.5707e+00,2.8240e+01
8.6182e+00,2.8395e+01
8.6659e+00,2.8551e+01
8.7140e+00,2.8708e+01
8.7623e+00,2.8866e+01
8.8108e+00,2.9024e+01
8.8596e+00,2.9183e+01
8.9088e+00,2.9342e+01
8.9581e+00,2.9502e+01
9.0078e+00,2.9663e+01
9.0577e+00,2.9825e+01
9.1079e+00,2.9987e+01
9.1584e+00,3.0150e+01
9.2091e+00,3.0313e+01
9.2602e+00,3.0477e+01
9.3115e+00,3.0642e+01
9.3631e+00,3.0808e+01
9.4150e+00,3.0974e+01
9.4672e+00,3.1141e+01
9.5196e+00,3.1309e+01
9.5724e+00,3.1477e+01
9.6255e+00,3.1646e+01
9.6788e+00,3.1815e+01
9.7325e+00,3.1986e+01
9.7864e+00,3.2157e+01
9.8406e+00,3.2328e+01
9.8952e+00,3.2501e+01
9.9500e+00,3.2674e+01
1.0005e+01,3.2848e+01
1.0061e+01,3.3022e+01
1.0116e+01,3.3197e+01
1.0172e+01,3.3373e+01
1.0229e+01,3.3549e+01
1.0286e+01,3.3726e+01
1.0343e+01,3.3904e+01
1.0400e+01,3.4083e+01
