wl,k
6.7301e+00,1.2425e+01
6.7627e+00,1.2487e+01
6.7954e+00,1.2550e+01
6.8284e+00,1.2612e+01
6.8614e+00,1.2675e+01
6.8947e+00,1.2738e+01
6.9281e+00,1.2802e+01
6.9617e+00,1.2865e+01
6.9954e+00,1.2929e+01
7.0293e+00,1.2993e+01
7.0633e+00,1.3057e+01
7.0976e+00,1.3122e+01
7.1319e+00,1.3187e+01
7.1665e+00,1.3252e+01
7.2012e+00,1.3317e+01
7.2361e+00,1.3383e+01
7.2712e+00,1.3448e+01
7.3064e+00,1.3514e+01
7.3418e+00,1.3580e+01
7.3774e+00,1.3647e+01
7.4131e+00,1.3714e+01
7.4490e+00,1.3781e+01
7.4851e+00,1.3848e+01
7.5214e+00,1.3915e+01
7.5578e+00,1.3983e+01
7.5944e+00,1.4050e+01
7.6312e+00,1.4118e+01
7.6682e+00,1.4187e+01
7.7053e+00,1.4255e+01
7.7427e+00,1.4324e+01
7.7802e+00,1.4393e+01
7.8179e+00,1.4462e+01
7.8558e+00,1.4531e+01
7.8938e+00,1.4601e+01
7.9321e+00,1.4671e+01
7.9705e+00,1.4741e+01
8.0091e+00,1.4811e+01
8.0479e+00,1.4881e+01
8.0869e+00,1.4952e+01
8.1261e+00,1.5023e+01
8.1654e+00,1.5094e+01
8.2050e+00,1.5165e+01
8.2448e+00,1.5237e+01
8.2847e+00,1.5308e+01
8.3248e+00,1.5380e+01
8.3652e+00,1.5452e+01
8.4057e+00,1.5524e+01
8.4464e+00,1.5597e+01
8.4873e+00,1.5669e+01
8.5285e+00,1.5742e+01
8.5698e+00,1.5815e+01
8.6113e+00,1.5889e+01
8.6530e+00,1.5962e+01
8.6949e+00,1.6036e+01
8.7371e+00,1.6109e+01
8.7794e+00,1.6183e+01
8.8219e+00,1.6258e+01
8.8647e+00,1.6332e+01
8.9076e+00,1.6407e+01
8.9508e+00,1.6481e+01
8.9941e+00,1.6556e+01
9.0377e+00,1.6631e+01
9.0815e+00,1.6707e+01
9.1255e+00,1.6782e+01
9.1697e+00,1.6858e+01
9.2141e+00,1.6933e+01
9.2588e+00,1.7009e+01
9.3036e+00,1.7086e+01
9.3487e+00,1.7162e+01
9.3940e+00,1.7238e+01
9.4395e+00,1.7315e+01
9.4853e+00,1.7392e+01
9.5312e+00,1.7469e+01
9.5774e+00,1.7546e+01
9.6238e+00,1.7623e+01
9.6704e+00,1.7701e+01
9.7173e+00,1.7778e+01
9.7643e+00,1.7856e+01
9.8117e+00,1.7934e+01
9.8592e+00,1.8012e+01
9.9070e+00,1.8090e+01
9.9550e+00,1.8169e+01
1.0003e+01,1.8247e+01
1.0052e+01,1.8326e+01
1.0100e+01,1.8405e+01
1.0149e+01,1.8484e+01
1.0198e+01,1.8563e+01
1.0248e+01,1.8642e+01
1.0298e+01,1.8722e+01
1.0347e+01,1.8801e+01
1.0398e+01,1.8881e+01
1.0448e+01,1.8961e+01
1.0499e+01,1.9041e+01
1.0549e+01,1.9121e+01
1.0600e+01,1.9201e+01
1.0652e+01,1.9282e+01
1.0703e+01,1.9362e+01
1.0755e+01,1.9443e+01
1.0807e+01,1.9524e+01
1.0860e+01,1.9605e+01
1.0912e+01,1.9686e+01
1.0965e+01,1.9767e+01
1.1018e+01,1.9848e+01
1.1072e+01,1.9930e+01
1.1125e+01,2.0011e+01
1.1179e+01,2.0093e+01
